exchange_ticker,ticker,exchange,company,price,shares_outstanding,market_cap,industry,sector,latest_ex_div_date
NYSE:ERJ,ERJ,NYSE,Embraer SA,5.2,185116300,962604760,Aerospace & Defense,Industrial,2000-01-01
NYSE:ONDK,ONDK,NYSE,"ON DECK CAPITAL, INC.",1.61,58921290,94863276.9,Banking Services,Financial,2000-01-01
NASDAQ:ATRO,ATRO,NASDAQ,ASTRONICS CORPORATION,7.92,30755860,243586411.2,Aerospace & Defense,Industrial,2000-01-01
NYSE:ATI,ATI,NYSE,ALLEGHENY TECHNOLOGIES INCORPORATED,8.52,126814100,1080456132,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:EH,EH,NASDAQ,EHANG HOLDINGS LIMITED,9.11,54728620,498577728.2,Aerospace & Defense,Industrial,2000-01-01
NYSE:AIR,AIR,NYSE,AAR CORP.,18.02,35303460,636168349.2,Aerospace & Defense,Industrial,2000-01-01
NYSE:SPR,SPR,NYSE,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",19.03,105624000,2010024720,Aerospace & Defense,Industrial,2000-01-01
NASDAQ:KTOS,KTOS,NASDAQ,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",19.47,122718500,2389329195,Aerospace & Defense,Industrial,2000-01-01
NYSE:IBM,IBM,NYSE,INTERNATIONAL BUSINESS MACHINES CORPORATION,120.56,890578700,1.07E+11,Software & IT Services,Technology,2000-01-01
NYSE:DCO,DCO,NYSE,DUCOMMUN INCORPORATED,35.06,11683480,409622808.8,Aerospace & Defense,Industrial,2000-01-01
