,exchange_ticker,ticker,exchange,company,price,shares_outstanding,market_cap,industry,sector,latest_ex_div_date
0,NYSE:ERJ,ERJ,NYSE,Embraer SA,7.22,185116300,962604760.0,Aerospace & Defense,Industrial,2018-12-28
1,NYSE:TGI,TGI,NYSE,"TRIUMPH GROUP, INC.",14.04,52072830,322851546.0,Aerospace & Defense,Industrial,2020-02-28
2,NASDAQ:ATRO,ATRO,NASDAQ,ASTRONICS CORPORATION,12.26,30755860,243586411.2,Aerospace & Defense,Industrial,2012-10-25
3,NYSE:ATI,ATI,NYSE,ALLEGHENY TECHNOLOGIES INCORPORATED,16.690001000000002,126814100,1080456132.0,Aerospace & Defense,Industrial,2016-08-16
4,NASDAQ:EH,EH,NASDAQ,EHANG HOLDINGS LIMITED,20.209999,54728620,498577728.2,Aerospace & Defense,Industrial,2000-01-01
5,NYSE:AIR,AIR,NYSE,AAR CORP.,34.630001,35303460,636168349.2,Aerospace & Defense,Industrial,2020-03-27
6,NYSE:SPR,SPR,NYSE,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",36.369999,105624000,2010024720.0,Aerospace & Defense,Industrial,2020-12-11
7,NASDAQ:KTOS,KTOS,NASDAQ,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",25.09,122718500,2389329195.0,Aerospace & Defense,Industrial,2000-01-01
8,NASDAQ:VSEC,VSEC,NASDAQ,VSE CORPORATION,41.16,11043250,309652730.0,Aerospace & Defense,Industrial,2020-11-03
9,NYSE:DCO,DCO,NYSE,DUCOMMUN INCORPORATED,52.23,11683480,409622808.8,Aerospace & Defense,Industrial,2011-02-16
10,NYSE:HXL,HXL,NYSE,HEXCEL CORPORATION,48.110001000000004,83505780,3120610999.0,Aerospace & Defense,Industrial,2020-02-13
11,NYSE:TXT,TXT,NYSE,TEXTRON INC.,46.990002000000004,228035500,8783927460.0,Aerospace & Defense,Industrial,2020-12-10
12,NYSE:AJRD,AJRD,NYSE,"AEROJET ROCKETDYNE HOLDINGS, INC.",41.849998,78621280,3131485582.0,Aerospace & Defense,Industrial,2000-01-01
13,NYSE:CUB,CUB,NYSE,CUBIC CORPORATION,60.709998999999996,31329010,1336182277.0,Aerospace & Defense,Industrial,2020-08-28
14,NYSE:BWXT,BWXT,NYSE,"BWX TECHNOLOGIES, INC.",60.52,95289390,5379086066.0,Aerospace & Defense,Industrial,2020-11-19
15,NYSE:RTX,RTX,NYSE,RAYTHEON TECHNOLOGIES CORPORATION,70.639999,1527655000,90926025600.0,Aerospace & Defense,Industrial,2020-11-12
16,NASDAQ:AVAV,AVAV,NASDAQ,"AEROVIRONMENT, INC.",85.449997,24104560,1553056801.0,Aerospace & Defense,Industrial,2000-01-01
17,NASDAQ:MRCY,MRCY,NASDAQ,"MERCURY SYSTEMS, INC.",84.32,56000600,3754280224.0,Aerospace & Defense,Industrial,2015-03-13
18,NYSE:NPK,NPK,NYSE,"NATIONAL PRESTO INDUSTRIES, INC.",89.660004,7021390,578071038.7,Aerospace & Defense,Industrial,2020-02-28
19,NASDAQ:AAXN,AAXN,NASDAQ,"AXON ENTERPRISE, INC.",120.75,63475580,5350356638.0,Aerospace & Defense,Industrial,2000-01-01
20,NYSE:CW,CW,NYSE,CURTISS-WRIGHT CORPORATION,113.040001,41576990,3879548937.0,Aerospace & Defense,Industrial,2020-11-24
21,NYSE:HEI,HEI,NYSE,HEICO CORPORATION,131.559998,134942900,14465878880.0,Aerospace & Defense,Industrial,2020-06-30
22,NASDAQ:ESLT,ESLT,NASDAQ,ELBIT SYSTEMS LTD,125.050003,44198330,5382030644.0,Aerospace & Defense,Industrial,2020-08-31
